p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
6,12000,0,1.7949794e-05,0.69875914,2.3893598e-07,1.5096739e-06,380.04701
6,12000,1,0.97286742,0.6901466,0.39100739,0.13551944,484.02987
6,12000,2,2.1111725,0.63080158,0.30304353,0.24271304,600.84345
6,12000,3,4.4446661,0.73903356,0.24540745,0.40100907,696.15566
8,12000,0,1.5581172e-05,0.63005378,2.1632877e-07,1.4042889e-06,270.76545
8,12000,1,0.99420657,0.73690677,0.40520331,0.099427842,315.82999
8,12000,2,2.1652423,0.75054477,0.35870711,0.21278353,354.65582
8,12000,3,3.5751468,0.71335791,0.29482545,0.30947682,406.96326
10,12000,0,2.3462418e-05,0.75569458,3.2320619e-07,1.4001317e-06,183.36315
10,12000,1,0.92471513,0.75659547,0.51004219,0.083755168,211.25701
10,12000,2,2.006045,0.74957101,0.42700252,0.15836167,234.49472
10,12000,3,2.7047386,0.76698931,0.27992347,0.20303857,270.33613
12,12000,0,2.3039562e-05,0.70798011,2.5285408e-07,1.3478049e-06,144.1895
12,12000,1,0.71223207,0.73013132,0.48118127,0.053300009,163.49185
12,12000,2,1.8437507,0.71693235,0.41183861,0.11974936,180.04918
12,12000,3,2.7549886,0.72247625,0.35131561,0.17091161,208.85527
6,3000,0,7.427401e-06,0.041238744,1.7198424e-07,1.1344544e-06,6.5824008
6,3000,1,0.052167866,0.043920778,0.026297552,0.010922974,9.6820393
6,3000,2,0.12030955,0.040319677,0.020268318,0.018248651,13.565709
6,3000,3,0.27153076,0.047374815,0.017905861,0.026088573,15.783116
8,3000,0,6.3573534e-06,0.039328704,1.9208528e-07,9.9948375e-07,6.7350214
8,3000,1,0.053884205,0.046852721,0.025776156,0.0068589503,7.8666574
8,3000,2,0.1361739,0.04904245,0.023976339,0.014246752,8.7707129
8,3000,3,0.23538622,0.049301833,0.02082247,0.02045343,10.379347
10,3000,0,5.7961605e-06,0.048634149,2.9426068e-07,9.3184412e-07,5.1333502
10,3000,1,0.053382979,0.049013097,0.041215283,0.0051291749,6.0940744
10,3000,2,0.12272329,0.044857077,0.030722524,0.011001378,7.0501034
10,3000,3,0.19067834,0.049541274,0.023481521,0.01360703,8.3586157
12,3000,0,5.3182529e-06,0.045257494,3.1914614e-07,8.9866161e-07,4.5511936
12,3000,1,0.041164625,0.045576496,0.037895173,0.0037959559,5.4598467
12,3000,2,0.10545822,0.04900736,0.033546248,0.0084871296,6.0880804
12,3000,3,0.17326007,0.050347492,0.027405241,0.010752854,7.2465723
6,6000,0,1.6470336e-05,0.17187621,2.3676289e-07,1.2028548e-06,47.981368
6,6000,1,0.22689995,0.17220962,0.098099978,0.036114521,64.271556
6,6000,2,0.48944587,0.15779176,0.073444451,0.06404607,84.20301
6,6000,3,1.0995083,0.1841141,0.060981646,0.10033235,98.179984
8,6000,0,1.2125791e-05,0.15805845,1.7799903e-07,1.2587116e-06,40.57184
8,6000,1,0.23638731,0.18738723,0.096747163,0.024475029,48.150735
8,6000,2,0.53960011,0.18970257,0.091485574,0.053358613,54.11469
8,6000,3,0.88292428,0.19240739,0.075905841,0.078239826,63.010515
10,6000,0,2.0354595e-05,0.18830314,2.4268404e-07,1.1237524e-06,27.969763
10,6000,1,0.22428269,0.18129372,0.13139995,0.020979069,32.865916
10,6000,2,0.49529496,0.18707765,0.10895422,0.040568425,36.64539
10,6000,3,0.663956,0.19785206,0.073141817,0.048174864,43.491221
12,6000,0,1.90215e-05,0.17599711,1.9573296e-07,1.0959468e-06,23.413361
12,6000,1,0.18955842,0.18564429,0.13366007,0.01543881,27.796243
12,6000,2,0.43817231,0.19260387,0.11446495,0.0311009,30.620144
12,6000,3,0.71051802,0.19443041,0.092408786,0.044576584,35.735422
6,9000,0,1.6293075e-05,0.3746094,1.5377171e-07,1.7078386e-06,164.85534
6,9000,1,0.52891576,0.37951994,0.21836211,0.077843398,216.2216
6,9000,2,1.1471668,0.34577883,0.16640896,0.13476532,272.7132
6,9000,3,2.4642961,0.40349112,0.13762075,0.22595476,316.52954
8,9000,0,1.3171171e-05,0.34184191,2.1167216e-07,1.686567e-06,147.35456
8,9000,1,0.54933633,0.40425573,0.22509375,0.055772518,170.69023
8,9000,2,1.2197307,0.41014394,0.20056606,0.11989442,194.23864
